sep=,
"Cliente","Vd","Nome","Ano","TOTAL","Janeiro","Fevereiro","Março","Abril","Maio","Junho","Julho","Agosto","Setembro","Outubro","Novembro","Dezembro"
="2422",="14","Maria Madalena  & Oliveira, Lda.","2022","120,54","0","0","0","0","0","0","0","15,68","27,28","0","77,58","0"
="2462",="08","Hastimolde Fábrico de Moldes P/Plásticos, Lda.","2022","188,7","0","0","108,5","0","0","0","0","0","0","80,2","0","0"
="2584",="30","Silva & Ventura Tornearia Mecânica, Lda.","2022","50","0","0","0","0","0","0","0","0","50","0","0","0"
="2731",="05","SOLPRÉ - COMPONENTES PARA CALÇADO, LDA","2022","252","0","0","0","0","0","0","0","252","0","0","0","0"
="2942",="12","Tormel Tornearia Mecânica, Lda.","2022","2696,9","299,7","276","49,8","489,4","379,8","113,8","149,1","69,5","247,2","167,4","297,2","158"
="0012",="30","AF Azevedos, Ferramentas, Lda.","2022","2903,82","628,5","770,89","0","382,97","291,96","209,3","0","49,6","432","0","138,6","0"
="0046",="06","Alberto Azevedo Mecânica Precisão, Lda.","2022","380,4","0","48","0","56,1","0","0","0","183,5","26,3","0","15,5","51"
="0081",="05","António Cunha Leite, Lda.","2022","5771,62","0","464,9","974,5","562,65","612","89,6","698,68","363,98","156,4","602,95","740,46","505,5"
="0082",="12","Safa Construções Electromecânicas, Lda.","2022","1065,02","163,65","0","73,78","0","0","283,5","0","166,18","377,91","0","0","0"
="0120",="06","Fausto Oliveira Costa","2022","707,9","0","0","399,26","0","0","0","0","0","308,64","0","0","0"
="0128",="06","AAPICO MAIA S.A.","2022","17014,42","273","0","0","0","235,4","171,54","0","424,1","0","3052,13","8799,65","4058,6"
="0277",="05","JS Freitas & Marques, Lda.","2022","1128,2","333,36","0","28,04","168,6","0","0","333,9","47,1","84,9","60,7","71,6","0"
="0284",="06","Ernesto São Simão, Lda.","2022","3688,46","67","0","139,2","209,76","660,52","-410,8","768,5","288,25","373,06","283,4","1031,07","278,5"
="0307",="30","Extrusal Companhia Portuguesa Extrusão, SA.","2022","2462,4","0","0","2266,9","0","0","0","0","0","0","0","195,5","0"
="0314",="30","Herculano Alfaias Agricolas, SA.","2022","628","120,5","0","219","0","48","0","120,5","0","0","120","0","0"
="0382",="30","Kirchhoff Automotive Portugal S.A.","2022","1742,76","192","0","309,6","103,2","0","431,88","206,4","0","499,68","0","0","0"
="0391",="08","Hidrocentro Óleo Hidraulica Met. Centro, Lda.","2022","1344,32","0","0","194,96","0","0","116,9","233,96","92,5","0","112,1","615,5","-21,6"
="0421",="06","AM Azevedo & Martins, Lda.","2022","3211,63","155","-155","0","1149,03","0","0","409,04","0","671,19","921,57","0","60,8"
="0463",="30","Famo Indústria Mobiliário Escritório, Lda.","2022","942,12","330,12","0","0","0","20,75","0","104,8","0","0","471,75","14,7","0"
="0464",="30","Benjamim Martins Silva, Unip., Lda.","2022","1158,31","0","0","0","0","175,75","0","0","284,51","0","605,1","0","92,95"
="0465",="13","Jeremias Macêdo & Cª., Lda.","2022","43,8","0","0","0","0","0","0","0","38,67","5,13","0","0","0"
="0471",="06","João & Oliveira, Lda.","2022","2281,51","45,38","90,75","610,81","197","0","0","273,95","200,94","0","518,38","344,3","0"
="0481",="06","Intercortiças, SA","2022","148,2","0","0","0","148,2","0","0","0","0","0","0","0","0"
