sep=,
"Cliente","Vd","Nome","Ano","TOTAL","Janeiro","Fevereiro","Março","Abril","Maio","Junho","Julho","Agosto","Setembro","Outubro","Novembro","Dezembro"
="3785",="12","Solalva Mecânica de Precisão, SA","2023","57","0","0","0","0","0","0","0","0","0","0","57","0"
="3804",="08","Dionisio José Gomes Neves, Lda","2023","474,9","84,5","0","0","0","0","0","84,5","0","305,9","0","0","0"
="3823",="06","Barboflex-Flexible Solutions, S.A.","2023","995,96","39,7","209,1","0","145","289,8","182,4","0","86,64","43,32","0","0","0"
="3898",="06","Fundinio, SA","2023","1349,47","95,98","52,73","17,36","46,16","124,03","138,91","188,23","126,54","0","0","56","503,53"
="3902",="06","FMP - Fly Mecânica de Precisão, Lda","2023","1018,73","0","0","0","349,9","299","0","0","0","0","0","272","97,83"
="3966",="08","SEP TEC - Tratamento de Sup. em moldes, Lda","2023","219","0","0","74","0","0","145","0","0","0","0","0","0"
="3973",="30","Imepre - Indústria Mecânica de Precisão, Lda","2023","2335,88","162","272,1","536,77","783,82","147","0","134,52","24,8","0","303,6","-157,43","128,7"
="3978",="06","WRK LDA","2023","1942,23","263,3","665,4","14","331,5","15,5","163,3","177,13","61","0","138","113,1","0"
="4004",="30","Hilab - Test Equipments & Consulting, Unip. Lda","2023","417,85","397,95","0","19,9","0","0","0","0","0","0","0","0","0"
="4115",="06","Sá Couto & Monteiro, SA (SISMA)","2023","80,41","80,41","0","0","0","0","0","0","0","0","0","0","0"
="4123",="05","Geometrical Figures, Lda","2023","1703,08","254,8","0","0","0","379,44","0","151,8","696,24","0","0","220,8","0"
="4174",="06","Mecaltex - Mecânica Geral de Precisão, Lda","2023","1643,4","980","172,5","108","0","27","184,2","41,5","0","0","108","22,2","0"
="4502",="08","INDUSSTOCK - EQUIPAMENTOS PARA A INDUSTRIA LDA","2023","845,06","80,28","0","80,28","0","0","0","0","0","0","40,5","0","644"
="4514",="10","ELO FABRICA NACIONAL MATERIAL AUTOMOVEL SA","2023","365","0","0","109,5","0","0","51,1","58,4","0","0","54,75","0","91,25"
="4631",="12","SMAV-TOOL LDA","2023","128,2","0","0","0","0","0","0","0","0","0","0","0","128,2"
="4646",="06","José Luciano Unipessoal, Lda","2023","137,28","0","0","73,06","0","0","64,22","0","0","0","0","0","0"
="4668",="06","Meicom - Alexandre Camilo de Oliveira Pereira","2023","140,1","0","0","0","0","0","0","0","0","0","0","67,9","72,2"
="4678",="10","CARLOS M ROSA UNIP. LDA","2023","1821,15","0","0","0","0","0","0","0","0","1821,15","0","0","0"
="4680",="08","VIDROMECANICA METALOMECANICA VIDREIRA LDA","2023","669,01","0","0","0","0","0","0","669,01","0","0","0","0","0"
="4681",="30","TRICAD - SOLUÇÕES DE ENGENHARIA UNIPESSOAL LDA","2023","4360,92","232","52,8","0","439,5","303,71","52,8","0","0","1995,97","1159,92","88,82","35,4"
="4705",="06","FLORINDA MARIA ALVES DE BRITO LDA","2023","239,33","0","0","0","0","239,33","0","0","0","0","0","0","0"
="4709",="10","Aníbal José dos Santos Monteiro Roque","2023","366,3","0","111,1","0","98,8","0","0","0","79,4","0","0","0","77"
="4722",="05","INOVSTEEL- PRODUTOS METALICOS E CONSTRUÇÃO LDA","2023","83,1","0","0","0","0","0","0","0","0","0","83,1","0","0"
="4732",="30","MITALTUB - TUBOS E PERFIS DE AÇO LDA","2023","6501,19","100,94","1264,26","1222,68","78","489,79","0","0","98,6","482,44","2423,52","267,05","73,91"
="4757",="30","MTVD 2, LDA.","2023","730,25","250,85","0","0","35,3","0","62,4","116","0","0","265,7","0","0"
="4778",="08","STREAK ENGENHARIA EM AUTOMAÇÃO LDA","2023","1297","0","0","0","0","0","0","0","0","0","0","0","1297"
="4827",="05","FRESAMINHO METALOMECANICA UNIPESSOAL LDA","2023","410,84","0","0","0","0","0","0","0","0","95,3","0","49,8","265,74"
="4833",="30","Carlos Alberto Fernandes Marques","2023","2395,54","0","1000","232,79","0","0","1000","0","0","0","0","162,75","0"
="4837",="12","MDP Construções, Lda","2023","128,73","0","0","0","0","0","0","0","0","0","128,73","0","0"
="4856",="30","AFN LDA","2023","175,7","0","0","0","0","0","0","0","0","0","0","0","175,7"
="4904",="08","JHS-SOLUÇÕES E COMPONENTES INDUSTRIAIS UNIPESSOAL LDA","2023","6132,9","1979,94","824,6","269,2","571","320,5","320,78","621,45","0","0","0","1150,43","75"
="4923",="10","FERCEPE LDA","2023","295,76","0","195,81","0","0","0","0","0","0","70,07","0","0","29,88"
="4957",="08","METALURGICA MANUEL F CARDOSO, LDA","2023","205,43","0","0","0","0","0","0","0","0","0","0","205,43","0"
="4985",="06","Fernando Duarte Metalomecânica Unip. Lda","2023","860,38","0","171,61","0","69,42","0","104","0","0","352","-135","298,35","0"
="5014",="10","CARLOS FERREIRA DA SILVA & FILHOS - RECOLHA E RECICLAGEM DE PAPEIS E PLAST L","2023","120,9","0","0","0","0","0","0","0","0","0","120,9","0","0"
="5021",="11","BALANTEK LDA","2023","572,28","87,3","58,48","0","206,64","0","160,66","59,2","0","148","-148","0","0"
="5022",="10","VARANDAS Z M A - INDUSTRIA E COMERCIO DE MAQUINAS LDA","2023","1739,99","109,5","665,45","453,55","409,54","0","101,95","0","0","0","0","0","0"
="5028",="08","RECTILEI RECTIFICADORA INDUSTRIAL LEIRIENSE LDA","2023","199,76","0","0","0","0","0","0","0","0","0","199,76","0","0"
="4424",="06","Fretoprecisão - Fresagem e Tornearia, Unip. Lda","2023","24,44","0","0","0","0","0","0","24,44","0","0","0","0","0"
="4435",="05","DIFERENTEFEITO - UNIPESSOAL LDA","2023","3537,85","217,2","1454,4","471,05","47,7","105,3","0","196","309,5","432,8","51,05","111,8","141,05"
="4475",="30","ROCHA PAIVA MOLDES LDA","2023","7513,52","1173,4","1349,34","1613,1","1017","413,51","0","0","0","334","0","0","1613,17"
="4494",="06","CAPA - ENG. E CONST. METALOMECANICAS S A","2023","109,6","52,5","0","0","0","0","0","0","0","57,1","0","0","0"
="4532",="12","MIRANDA E IRMAO LDA","2023","323,21","0","0","0","72,53","0","0","121,95","0","0","0","128,73","0"
="4547",="30","SHI SERVICE LDA","2023","2363,34","30,1","147,7","41,1","418,33","21,5","0","23,2","713,13","295,68","176,5","233,6","262,5"
="4548",="12","SERVIMOLAS INDUSTRIA DE MOLAS METALICAS LDA","2023","-339","0","0","0","-339","0","0","0","0","0","0","0","0"
="4553",="06","MANUTRIAL MANUTENÇÃO INDUSTRIAL LDA","2023","6060,25","334,62","427,77","2582,45","240,83","369,5","0","0","460,08","0","526","0","1119"
="4560",="08","SCALESOCEANS - LDA","2023","181,97","0","0","0","181,97","0","0","0","0","0","0","0","0"
="4587",="10","PACHECO PASSOS UNIPESSOAL LDA","2023","48,8","0","0","48,8","0","0","0","0","0","0","0","0","0"
="4607",="11","PIMENTEC - SOL. IND. E ASSIST. TEC. UNIPESSOAL LDA","2023","413","0","0","413","0","0","0","0","0","0","0","0","0"
="4657",="30","PROZINCO - CONSTRUÇÃO E MANUTENÇÃO S A","2023","383,02","0","230,76","0","45,66","0","0","46,64","59,96","0","0","0","0"
="4660",="30","METALPEDRO - INDÚSTRIAS METALÚRGICAS LDA","2023","378,3","0","0","0","0","0","0","0","378,3","0","0","0","0"
="1855",="30","Jalm Manutenção Industrial, Lda.","2023","6567,53","324,78","499,37","277,22","711,8","655,78","589,4","647,9","390,12","71,6","708,02","934,36","757,18"
="1947",="11","Compasso Máquinas Ferramentas, Lda.","2023","1425,7","558,64","0","436","41,12","0","0","53,28","126,48","-2,72","170,74","0","42,16"
="2032",="13","Duarte Maximino Alves","2023","87,35","0","0","0","0","0","0","0","0","0","0","0","87,35"
="2127",="08","Valdemar Metalomecânica Serviços, Lda.","2023","3045,6","0","0","578,15","0","0","901,83","278,87","183,92","408,65","0","694,18","0"
="2272",="06","Vitor Fernando Santos Martins Soares","2023","440,8","0","0","0","0","0","0","0","0","440,8","0","0","0"
="2279",="13","A Descentralizadora Comércio Indústria, Lda.","2023","410,27","0","0","184","36,67","0","0","0","189,6","0","0","0","0"
="2330",="08","Soldifusos Fabricação Máquinas, Lda.","2023","5445,79","751,17","664,25","80,28","241,39","202,72","177","2928,71","0","0","0","400,27","0"
="2331",="05","Brivel Britas Betões Vila Real, SA.","2023","37,5","0","0","0","0","0","0","0","37,5","0","0","0","0"
="2362",="06","Constantino Fernandes Oliveira & Filhos, SA","2023","3506,25","0","0","543,3","0","113,9","159,5","150,7","0","1722,25","700,6","0","116"
="2363",="05","Duartesfer Construções Metálicas, Lda.","2023","1667,65","0","855,01","44,7","214,1","128,62","106,2","70,31","248,71","0","0","0","0"
="2487",="30","JMJ - Mecanica de Precisão, Lda","2023","167,2","0","0","167,2","0","0","0","0","0","0","0","0","0"
="2986",="06","Estampaço Estap.Comp. Metalomecanica Precisão, Lda","2023","7238,3","744","0","685,24","116,7","1200,9","1213,6","903,65","191,53","322,7","601,86","1258,12","0"
="3137",="30","Cei Companhia Equipamentos Industriais,Lda","2023","9408,07","399,63","797,21","1605,4","687,4","867,97","997,6","879,53","320,55","811,55","1088,83","363,37","589,03"
="5049",="06","PREMIUM MOLD LDA","2023","157,74","0","279,3","-121,56","0","0","0","0","0","0","0","0","0"
="5056",="11","IMPOR4MILL, UNIPESSOAL LDA","2023","314,24","0","0","12,66","0","0","0","12,66","0","0","240,26","48,66","0"
="5075",="12","BAIRROTOOL MECANICA DE PRECISÃO LDA","2023","77,5","0","0","0","0","0","0","77,5","0","0","0","0","0"
="5084",="12","OLYMPUS MEDICAL PRODUCTS PORTUGAL UNIPESSOAL LDA","2023","1513","0","526,5","0","0","460","0","0","0","0","0","0","526,5"
="5111",="08","TECLENA - AUTOMATIZAÇÃO ESTUDOS E REPRESENTAÇÕES S A","2023","2449,44","0","213,53","420,56","235,56","253,5","253,5","946,3","0","0","0","126,49","0"
="5116",="06","CONCEPTUSCAR LDA","2023","44,5","0","44,5","0","0","0","0","0","0","0","0","0","0"
="5120",="05","MODULOSQUADRIA - UNIPESSOAL LDA","2023","3472,15","0","0","-6,6","1583","294,6","242","302,68","0","0","0","0","1056,47"
="5123",="30","PORTIMPACT LDA","2023","187,1","0","0","0","0","0","0","0","0","0","0","187,1","0"
="5134",="12","NUNO MIGUEL MATOS OLIVEIRA","2023","502,28","0","0","26,3","0","0","0","0","0","44,7","0","251,28","180"
="5138",="05","MANUEL RODRIGUES DUARTE LDA","2023","1147,47","0","0","0","571,51","0","0","223,08","223,08","0","0","129,8","0"
="5143",="30","LCAMPOS UNIPESSOAL LDA","2023","261","0","0","0","0","261","0","0","0","0","0","0","0"
="5164",="15","MIGUEL MATOS UNIPESSOAL LDA","2023","7","229","-222","0","0","0","0","0","0","0","0","0","0"
="5168",="12","MOTOFIL AUTOMOTIVE AND AERONAUTICS SYSTEMS, LDA.","2023","78,1","0","78,1","0","0","0","0","0","0","0","0","0","0"
="4725",="05","Hélder Miguel Miranda Maciel","2023","358,45","262,85","0","0","0","0","0","61,8","0","0","33,8","0","0"
="4750",="12","WOOD FIRST UNIPESSOAL LDA","2023","864,6","0","0","0","0","157,2","0","0","0","707,4","0","0","0"
="4766",="05","SERRATEC PRODUÇÃO DE COMPONENTES INDUSTRIAIS S A","2023","2020,5","0","0","2020,5","0","0","0","0","0","0","0","0","0"
="4773",="05","BENITES TORNEIRO SOCIEDADE UNIPESSOAL LDA","2023","165","0","0","0","0","0","0","0","0","165","0","0","0"
="4784",="06","APINEQ APLICAÇÕES INDUSTRIAIS E EQUIPAMENTOS LDA","2023","2174,86","36,6","564,2","418,87","360,7","0","194,6","57,3","296,3","0","10,19","236,1","0"
="4795",="12","ASM-TEC, LDA","2023","37,71","0","0","0","0","0","0","37,71","0","0","0","0","0"
="4845",="05","METALOVIANA - METALURGICA DE VIANA S A","2023","947,88","0","584,73","0","116,95","0","0","0","0","0","246,2","0","0"
="4921",="30","JOSE NEVES COMERCIO E MANUTENÇÃO INDUSTRIAL LDA","2023","1896,18","0","0","163,2","0","0","0","141,15","604,31","0","0","987,52","0"
="4934",="05","José Carlos Lima Coelho","2023","315,35","0","0","0","74,6","0","106,8","0","0","0","0","133,95","0"
="4936",="08","RAMILO GOMES LDA","2023","441,2","42","0","0","75,5","0","0","85,5","0","0","238,2","0","0"
="4948",="05","MEASUREPRO - MAQUINAS LDA","2023","91,2","0","0","0","0","91,2","0","0","0","0","0","0","0"
="4967",="30","ANTONIO GUILHERME DOMINGUES - DEMOLIÇÕES UNIPESSOAL LDA","2023","1816,98","248,5","0","0","0","93,93","0","251,63","286,28","0","97,83","587,18","251,63"
="4996",="05","MARCOS DA SILVA MARTINS  C LDA","2023","128,78","0","128,78","0","0","0","0","0","0","0","0","0","0"
="0042",="06","Metromolde Tecnologia Moldes, Lda.","2022","717,73","0","0","221,33","47","449,4","0","0","0","0","0","0","0"
="0165",="08","Mito Fabricação Moldes Metálicos, Lda.","2022","93","0","0","0","0","0","0","93","0","0","0","0","0"
="0203",="12","Peugeot Citroën Automóveis Portugal, SA","2022","61,6","0","61,6","0","0","0","0","0","0","0","0","0","0"
="0236",="30","PAM Serviços Tecnicos Industriais, Lda.","2022","785,28","0","745,2","0","0","0","0","23,8","0","16,28","0","0","0"
="0348",="06","Ferreira, Barros & Filhos, Lda.","2022","582,48","0","82","0","0","48,3","0","0","0","64,9","229,03","158,25","0"
="0408",="30","Henrique Vieira & Filhos, SA.","2022","2620,79","0","205,2","1048,8","524,24","0","73,78","533,98","0","0","83,59","0","151,2"
="0441",="06","Facort Fábrica Cortantes Moldes, Lda.","2022","4086,65","568,14","389,3","560,23","733,91","344,24","9,69","92,2","546,48","73,9","653,76","0","114,8"
="0519",="05","Lingote Alumínios, SA","2022","6392,69","0","2447,81","716,2","0","0","0","0","3228,68","0","0","0","0"
="0597",="06","Eduardo, Luís & Germano, Lda.","2022","39","0","0","0","0","0","0","0","39","0","0","0","0"
="0644",="12","Motofil Robotics, SA","2022","399,48","0","0","0","0","0","0","0","0","0","0","0","399,48"
="0743",="08","Rui Manuel Conceição. Lda.","2022","2183,64","148,3","110,25","200,8","73,1","0","79,35","0","412","69,35","549,35","541,14","0"
="0750",="30","Sá & Jacinto, Lda.","2022","118,8","118,8","0","0","0","0","0","0","0","0","0","0","0"
="0952",="11","Euroferramentas, Lda.","2022","459,2","0","0","0","0","0","0","0","0","0","459,2","0","0"
="5182",="08","A P CARRIÇO MAQUINAGEM INDUSTRIAL UNIPESSOAL LDA","2023","2191,27","0","0","2191,27","0","0","0","0","0","0","0","0","0"
="5186",="05","STE EXPLORAÇÃO PLASTICOS UNIPESSOAL LDA","2023","191,6","0","0","0","0","0","0","191,6","0","0","0","0","0"
="5206",="05","ADLANEXT, UNIPESSOAL LDA","2023","588","0","0","0","0","251","0","163,4","0","173,6","0","0","0"
="5217",="11","ÁLAMO - FERRAMENTAS, UNIPESSOAL LDA","2023","3626,86","0","0","0","0","228,6","236,36","2124,8","809,7","96,66","76","33,86","20,88"
="5224",="12","SINPROFILE, SOCIEDADE UNIPESSOAL Lda","2023","442,2","0","0","0","0","0","0","212,1","45","0","46,5","69,3","69,3"
="5239",="12","PRILUX - COMÉRCIO, CONSTRUÇÃO E OBRAS PÚBLICAS LDA","2023","202,2","0","0","0","0","0","0","202,2","0","0","0","0","0"
="0217",="05","Sulnor Indústria Metalomecânica, Lda.","2024","261,6","261,6","0","0","0","0","0","0","0","0","0","0","0"
="0471",="06","João & Oliveira, Lda.","2024","460,43","460,43","0","0","0","0","0","0","0","0","0","0","0"
="0542",="30","Magalhães & Irmãos, Unip., Lda.","2024","303,56","303,56","0","0","0","0","0","0","0","0","0","0","0"
="0623",="08","Moldene Indústria Moldes, Lda.","2024","83,53","83,53","0","0","0","0","0","0","0","0","0","0","0"
="0661",="06","A Metalúrgica Bakeware Production, S.A.","2024","596,8","596,8","0","0","0","0","0","0","0","0","0","0","0"
="0682",="06","Oniram Soc. Construção Máquinas Industriais, Lda.","2024","345,8","345,8","0","0","0","0","0","0","0","0","0","0","0"
="0903",="06","Azevedos Indústria Máquinas Equip. Ind., SA.","2024","238,27","238,27","0","0","0","0","0","0","0","0","0","0","0"
="5002",="08","Recticentro Rectificadora Motores Automóveis, Lda.","2023","337,63","0","0","257,35","0","80,28","0","0","0","0","0","0","0"
="5033",="05","METALOCARVALHO - SERRALHARIA LDA","2023","281,96","0","0","0","0","0","0","0","0","0","281,96","0","0"
="5037",="10","MITSUBISHI FUSO TRUCK EUROPE - SOCIEDADE EUROPEIA DE AUTOMOVEIS S A","2023","30512","0","0","0","0","0","0","0","590","0","0","0","29922"
="5074",="06","José Carlos Fernandes Cardoso","2023","63,52","0","0","43,9","0","0","19,62","0","0","0","0","0","0"
="5094",="08","FUTRIMETAL INDUSTRIA E COMERCIO DE PRODUTOS METALICOS SA","2023","243,1","0","35,9","62,8","113","31,4","0","0","0","0","0","0","0"
="5103",="05","PROPROCESS, UNIPESSOAL LDA","2023","262,46","0","0","0","0","0","107,58","0","0","49,2","0","105,68","0"
="5107",="30","CHN-P, LDA","2023","204,09","0","0","0","0","165,19","0","0","0","0","0","0","38,9"
="5131",="08","SAMUEL MACHADO - DESENV. DE EQUIP. IND. UNIP. LDA","2023","585,93","0","0","307,1","14,4","-47,6","0","264,53","0","0","47,5","0","0"
="5162",="30","METALBOIM UNIPESSOAL LDA","2023","38,5","0","0","0","0","38,5","0","0","0","0","0","0","0"
="5176",="05","DOUISSI AJERRAY - MECANICA DE PRECISÃO UNIPESSOAL LDA","2023","152,1","0","0","0","0","0","152,1","0","0","0","0","0","0"
="5191",="12","AVIAGRO EQUIPAMENTOS E SERVICOS AGRO PECUARIOS SA","2023","99","0","0","99","0","0","0","0","0","0","0","0","0"
="5192",="05","LALLIO ENGENHARIA S A","2023","1126,07","0","0","1072,37","53,7","0","0","0","0","0","0","0","0"
="5204",="06","E-MOULDS&LASTS TOOLING SOLUTIONS, S.A.","2023","618,2","0","0","0","327,2","0","0","0","0","291","0","0","0"
="0957",="30","Efaflu Bombas Ventiladores, SA.","2024","971,94","971,94","0","0","0","0","0","0","0","0","0","0","0"
="0972",="08","Celmex Centro Estudos Lab. Moldes Export.,Lda.","2024","-106,4","-106,4","0","0","0","0","0","0","0","0","0","0","0"
="0982",="30","Continental Mabor Indústria de Pneus, SA.","2024","1114,4","1114,4","0","0","0","0","0","0","0","0","0","0","0"
="1160",="30","A Silva Matos Metalomecânica, SA","2024","174,9","174,9","0","0","0","0","0","0","0","0","0","0","0"
="1525",="30","Seabra & Irmão Torno Fresa, Lda.","2024","46,5","46,5","0","0","0","0","0","0","0","0","0","0","0"
="1586",="12","Marcovil Metalomecânica Viseu, SA.","2024","112,4","112,4","0","0","0","0","0","0","0","0","0","0","0"
="1882",="30","Natal Tornearia Mecânica, Lda.","2024","96,4","96,4","0","0","0","0","0","0","0","0","0","0","0"
="2016",="08","Faustino & Ferreira Soc. Const. Metálicas, SA.","2024","232,4","232,4","0","0","0","0","0","0","0","0","0","0","0"
="2103",="06","Rangel Indústria Metalúrgica, Lda.","2024","24,2","24,2","0","0","0","0","0","0","0","0","0","0","0"
="2226",="12","Bairrimoldes Fábrica Moldes Cunhos Cortantes.,Lda.","2024","205,5","205,5","0","0","0","0","0","0","0","0","0","0","0"
="2257",="08","JL Santos, Lda.","2024","251,89","251,89","0","0","0","0","0","0","0","0","0","0","0"
="2373",="06","João Strecht & Irmão, Lda.","2024","149,47","149,47","0","0","0","0","0","0","0","0","0","0","0"
="2466",="30","Portame Moldes, Lda.","2024","261,3","261,3","0","0","0","0","0","0","0","0","0","0","0"
="5251",="30","ASC METALOMECANICA DE PRECISÃO SOCIEDADE UNIPESSOAL LIMITADA","2023","1988,22","0","0","0","0","0","0","0","0","0","0","1406,15","582,07"
="5255",="30","MANUEL FARIA RODRIGUES LDA","2023","301,86","0","0","0","0","0","0","0","0","0","0","0","301,86"
="0097",="05","António Marques Rodrigues, SA","2024","1159,27","1159,27","0","0","0","0","0","0","0","0","0","0","0"
="0269",="08","Norelis Nova Rectificação Motores Liz, Lda.","2024","-39301","-39301","0","0","0","0","0","0","0","0","0","0","0"
="0408",="30","Henrique Vieira & Filhos, SA.","2024","250,28","250,28","0","0","0","0","0","0","0","0","0","0","0"
="0715",="06","IMFU Ind. Moldes Ferramentas Utensílios, SA","2024","142,35","142,35","0","0","0","0","0","0","0","0","0","0","0"
="0837",="06","Irmãos Sousa, SA.","2024","1522,88","1522,88","0","0","0","0","0","0","0","0","0","0","0"
="0853",="08","EDUARDO JOÃO MARQUES FERREIRA UNIPESSOAL LDA","2024","524,43","524,43","0","0","0","0","0","0","0","0","0","0","0"
="0965",="12","Tormec - Manuel António Ribeiro","2024","157","157","0","0","0","0","0","0","0","0","0","0","0"
="1191",="05","Mazeve Serralharia Mecânica Geral, Lda.","2024","143,64","143,64","0","0","0","0","0","0","0","0","0","0","0"
="1200",="30","Famikron Fab. Cortantes, Moldes Peças Precisão, SA","2024","561,75","561,75","0","0","0","0","0","0","0","0","0","0","0"
="1346",="06","Metalguarda Indústria Metalúrgica, SA","2024","19,3","19,3","0","0","0","0","0","0","0","0","0","0","0"
="1465",="06","Proclima Indústria Produtos Alumínio, Lda.","2024","725","725","0","0","0","0","0","0","0","0","0","0","0"
="2036",="30","Comeip, Lda.","2023","813,97","0","12,54","26,41","14,57","66,5","26,79","259,26","47,41","122,93","69,54","61,56","106,46"
="2097",="11","Grutécnica Co. Máquinas Ferramentas Ind., Lda.","2023","119,88","0","0","59,94","0","0","0","59,94","0","0","0","0","0"
="2101",="12","Torniervosa Serviços Torno Fresa, Lda.","2023","261,8","0","5,1","150,9","0","105,8","0","0","0","0","0","0","0"
="2367",="12","Durão, Lda.","2023","26,5","0","0","0","26,5","0","0","0","0","0","0","0","0"
="2399",="06","Maquirusso, Lda.","2023","597,8","0","471,9","125,9","0","0","0","0","0","0","0","0","0"
="2422",="14","Maria Madalena  & Oliveira, Lda.","2023","6,21","0","6,21","0","0","0","0","0","0","0","0","0","0"
="2541",="11","Majesfrape Máquinas Ferra. Representações, Lda.","2023","236,8","0","0","0","0","0","0","236,8","0","0","0","0","0"
="2731",="05","SOLPRÉ - COMPONENTES PARA CALÇADO, LDA","2023","763","763","0","0","0","0","0","0","0","0","0","0","0"
="2912",="12","Júlio Pereira Gomes & Filhos, Lda.","2023","710","0","355","0","0","0","0","0","0","0","355","0","0"
="2942",="12","Tormel Tornearia Mecânica, Lda.","2023","2958,7","374,2","494,5","140,6","383,9","334","78,8","127,6","0","207,9","323","188,2","306"
="2944",="06","Autoconceptus Projectos de Engenharia, Lda.","2023","291,2","0","0","0","0","0","0","0","291,2","0","0","0","0"
="3000",="15","Cliente 3000","2023","46817,49","1785,02","1695,99","5302,92","7541,96","3892,72","6424,48","2556,2","3179,91","4808,4","4034,43","1974,81","3620,65"
="3160",="12","Imanuel François Rodrigues Moreira","2023","98,5","0","0","0","0","0","0","0","0","0","0","98,5","0"
="1552",="08","Joferlis, Lda.","2024","1110,8","1110,8","0","0","0","0","0","0","0","0","0","0","0"
="1952",="08","Palbase Equipamentos Industriais, Lda.","2024","527,44","527,44","0","0","0","0","0","0","0","0","0","0","0"
="2024",="05","Felgrava Moldes, Lda.","2024","152,7","152,7","0","0","0","0","0","0","0","0","0","0","0"
="2161",="08","Moldata Projecto Programação Moldes, Lda.","2024","170","170","0","0","0","0","0","0","0","0","0","0","0"
="2687",="06","Turbogás Produtora Energética, SA","2024","44,2","44,2","0","0","0","0","0","0","0","0","0","0","0"
="2711",="12","JVAL Joaquim Valente Almeida & Filhos, Lda.","2024","-40,7","-40,7","0","0","0","0","0","0","0","0","0","0","0"
="2760",="06","NS Máquinas Industriais, Lda.","2024","572,72","572,72","0","0","0","0","0","0","0","0","0","0","0"
="3520",="06","Sociedade Metalurgica J R Oliveira, Lda","2024","229,2","229,2","0","0","0","0","0","0","0","0","0","0","0"
="3547",="30","Cruz Martins & Wahl, Lda.","2024","75","75","0","0","0","0","0","0","0","0","0","0","0"
="3606",="05","Kristaltek – CNC Precision, SA","2024","1865,42","1865,42","0","0","0","0","0","0","0","0","0","0","0"
="3745",="12","Cobel Const. Electro-Mecânicas Beira, SA","2024","275,2","275,2","0","0","0","0","0","0","0","0","0","0","0"
="3851",="08","Fravizel Equipamentos Metalomecânicos, SA","2024","120,4","120,4","0","0","0","0","0","0","0","0","0","0","0"
="4174",="06","Mecaltex - Mecânica Geral de Precisão, Lda","2024","51,8","51,8","0","0","0","0","0","0","0","0","0","0","0"
="3306",="12","Termologia Refrig. Ind. Equip. Serviços, Lda.","2023","162,81","0","0","0","0","0","0","162,81","0","0","0","0","0"
="3335",="05","Joaquim Machado, Lda.","2023","134,9","0","0","0","0","134,9","0","0","0","0","0","0","0"
="3402",="06","Polimais Equipamentos Industriais, Lda,","2023","56,6","0","0","0","0","56,6","0","0","0","0","0","0","0"
="3472",="06","Joaquim Sousa Martins, Lda.","2023","3848,39","31,7","374,7","73,06","665,62","1003,7","119,6","122","370,4","62,8","624,64","173,77","226,4"
="3657",="30","Joaquim Pinto Fernandes","2023","135,3","0","43,5","0","0","51","40,8","0","0","0","0","0","0"
="3671",="30","IPTE Ibéria Automação Industrial, Lda","2023","6265,34","287,32","381,5","525,83","420,59","833,06","188,79","997,85","341,73","514,94","261,85","1424","87,88"
="3679",="08","Tecnocanto Tec. Sist. Equip. Industriais, Lda","2023","587,16","0","0","0","52,2","0","0","0","143,1","0","0","260,76","131,1"
="3831",="30","Cosvalinox Ind. Metalurg. Equip., Lda","2023","39,2","0","0","0","0","0","0","0","39,2","0","0","0","0"
="3848",="08","Maqwork Maquinação de Metais, Lda","2023","603,04","56,5","0","143,52","220,7","128,82","0","53,5","0","0","0","0","0"
="3853",="05","Gervásio Alves Soluções Prod. Unip., Lda","2023","916,18","105,94","0","0","0","206,89","153","0","0","33,54","231,4","201,98","-16,57"
="3855",="08","José MC Dinis Unipessoal, Lda","2023","1926,26","70,5","285,16","92,8","239,11","391,97","0","204,1","204,42","138,5","233","0","66,7"
="3908",="11","Cordefer Comércio de Ferramentas, Lda","2023","1046,66","0","507,18","0","0","0","0","63,14","0","0","272,88","203,46","0"
="4022",="15","Finogold - Com. Indústria Ouriversaria, Lda","2023","32,48","0","0","0","0","0","0","0","0","0","0","0","32,48"
="3211",="06","Valportas – Portas e Automatismos, S.A","2023","1032,4","336","-317","0","173","138,4","138,4","34,6","0","0","0","529","0"
="3221",="08","Abilio Lains (Estatuarte)","2023","207,6","207,6","0","0","0","0","0","0","0","0","0","0","0"
="3308",="05","Fernandes & Guedes, Lda.","2023","4824,1","154,4","408","0","0","251,3","0","50,4","0","0","0","3960","0"
="3329",="30","Jorge Manuel Martins Dias","2023","552,2","0","0","0","0","0","0","330,2","0","0","0","222","0"
="3392",="08","Tubofuro Tubos em Pvc, SA","2023","161,1","0","92","0","0","0","0","69,1","0","0","0","0","0"
="3517",="30","Edalmoldes Indústria Moldes Ferramentas, Unipessoal, Lda.","2023","1975","0","1975","0","0","0","0","0","0","0","0","0","0"
="3528",="06","Fluviserra Serralharia Mecânica, Lda.","2023","97,83","0","0","0","0","0","0","0","0","0","97,83","0","0"
="3558",="30","JF Guedes, Unip., Lda.","2023","219","0","0","0","0","0","0","219","0","0","0","0","0"
="3662",="08","Drilimolde, Unip., Lda.","2023","132,9","0","0","0","0","0","0","132,9","0","0","0","0","0"
="3715",="08","Fatiperfil Serralharia, Lda","2023","232,33","54,9","0","0","0","0","0","135,23","42,2","0","0","0","0"
="3755",="30","JOÃO CARLOS GOMES PINTO UNIPESSOAL LDA","2023","4573,47","118","194,3","3343,8","0","0","0","419,82","0","497,55","0","0","0"
